SessionStartDate,platform,visitorType,ATC,Clicks,CVR,SessionRevenue,testGroup,CategoryID
2020-05-24,Mobile Site,New Visitor,0,0,0,0.0,control,TV Stands
2020-05-21,Desktop,Activated Customer,1,1,0,66.99,variation,Patio Furniture
2020-05-25,Mobile Site,Activated Customer,1,1,0,0.0,control,Sofas
2020-05-27,Mobile Site,Returning Visitor,0,0,0,0.0,control,Area Rugs
2020-05-21,Mobile Site,Activated Customer,0,0,0,0.0,control,Area Rugs
2020-05-21,Desktop,Activated Customer,0,0,0,0.0,control,Accent Chairs
2020-05-23,Desktop,Acquired Member,1,1,0,0.0,variation,Sofas
2020-05-22,Mobile Site,Returning Visitor,0,1,0,0.0,control,Sofas
2020-05-21,Mobile Site,Activated Customer,0,0,0,0.0,variation,Headboards
2020-05-22,Desktop,Activated Customer,0,0,0,0.0,control,Chairs
2020-05-22,Desktop,Activated Customer,0,1,0,0.0,variation,Beds
2020-05-24,Mobile Site,Activated Customer,0,0,0,0.0,variation,Sofas
2020-05-27,Desktop,Returning Visitor,0,0,0,0.0,variation,Chairs
2020-05-26,Mobile Site,Returning Visitor,0,0,0,0.0,variation,Headboards
2020-05-27,Mobile Site,Acquired Member,0,0,0,0.0,control,Coffee Tables
2020-05-27,Mobile Site,Acquired Member,0,1,0,0.0,control,Chairs
2020-05-27,Desktop,Acquired Member,0,0,0,0.0,control,Patio Furniture
2020-05-22,Mobile Site,Activated Customer,0,0,0,0.0,control,Headboards
2020-05-25,Desktop,Activated Customer,1,1,0,0.0,control,Beds
2020-05-27,Desktop,Returning Visitor,0,1,0,0.0,variation,Area Rugs
2020-05-25,Mobile Site,Activated Customer,0,0,0,0.0,variation,Gas Grills
2020-05-27,Desktop,Returning Visitor,0,0,0,0.0,control,TV Stands
2020-05-26,Mobile Site,Activated Customer,0,0,0,0.0,variation,Area Rugs
2020-05-24,Mobile Site,Acquired Member,1,1,0,0.0,control,TV Stands
2020-05-23,Desktop,Returning Visitor,0,0,0,0.0,control,Area Rugs
2020-05-22,Mobile Site,Activated Customer,0,1,0,0.0,control,Patio Furniture
2020-05-25,Mobile Site,Returning Visitor,0,0,0,0.0,control,Gas Grills
2020-05-24,Mobile Site,Activated Customer,0,1,0,0.0,variation,Coffee Tables
2020-05-26,Desktop,Acquired Member,0,1,0,0.0,variation,Headboards
2020-05-23,Desktop,Activated Customer,0,0,0,0.0,variation,Chairs
2020-05-25,Desktop,Acquired Member,0,0,0,0.0,variation,Sofas
2020-05-24,Desktop,Acquired Member,0,0,0,0.0,control,TV Stands
2020-05-21,Desktop,Acquired Member,0,0,0,0.0,control,Sectionals
2020-05-21,Mobile Site,Returning Visitor,0,1,0,0.0,control,Coffee Tables
2020-05-24,Mobile Site,Activated Customer,0,1,0,0.0,variation,TV Stands
2020-05-22,Mobile Site,Returning Visitor,0,1,0,0.0,variation,TV Stands
2020-05-26,Mobile Site,New Visitor,0,1,0,0.0,control,Accent Chairs
2020-05-24,Desktop,Activated Customer,0,0,0,0.0,variation,Coffee Tables
2020-05-24,Mobile Site,New Visitor,0,1,0,0.0,variation,Chairs
2020-05-21,Mobile Site,Returning Visitor,0,0,0,0.0,variation,Gas Grills
2020-05-24,Mobile Site,Returning Visitor,0,0,0,0.0,control,Accent Chairs
2020-05-27,Mobile Site,Returning Visitor,0,0,0,0.0,control,Gas Grills
2020-05-21,Desktop,Activated Customer,1,1,0,0.0,control,Patio Furniture
2020-05-21,Desktop,Activated Customer,0,0,0,0.0,control,Sofas
2020-05-24,Mobile Site,New Visitor,0,1,0,0.0,control,TV Stands
2020-05-24,Mobile Site,Activated Customer,0,1,0,0.0,control,Chairs
